tipo_inmueble,valor_venta,area,nro_cuartos,nro_banos,nro_garajes,zona,barrio,nombre_comun_barrio
Apartamento,450000000,89.0,3,2,2.0,Noroccidente,TIERRA LINDA,ALCAZAR DE SAN LUIS
Apartamento,700000000,0.0,3,3,2.0,Norte,BELLA SUIZA,Bella Suiza-Usaquén
Apartamento,400000000,0.0,1,2,2.0,Norte,LA CALLEJA,UNICENTRO
Apartamento,750000000,107.0,3,3,2.0,Norte,CHICO,CHICO
Apartamento,285000000,73.0,2,2,1.0,Norte,LOS CEDRITOS,CEDRITOS
Casa,480000000,280.0,5,4,0.0,Sur,RESTREPO OCCIDENTAL,RESTREPO
Apartamento,530000000,103.0,3,3,2.0,Noroccidente,MAZUREN,MAZUREN
Apartamento,208000000,40.0,2,1,1.0,Noroccidente,SAN CIPRIANO,SAN CIPRIANO
Apartamento,521060220,140.0,3,4,2.0,Noroccidente,PRADO VERANIEGO NORTE,Iberia
Apartamento,750000000,140.0,3,3,2.0,Norte,CHICO NORTE III,Chico Norte III
Casa,940000000,197.0,3,4,2.0,Norte,BELMIRA,Belmira
Apartamento,960000000,135.0,3,3,,Chapinero,LAS ACACIAS,LOS ROSALES
Apartamento,5500000000,360.0,3,4,4.0,Norte,CHICO NORTE,CHICO NORTE
Apartamento,420000000,64.0,2,2,1.0,Norte,SANTA BARBARA OCCIDENTAL,SANTA BARBARA ALTA
Apartamento,530000000,106.0,3,2,1.0,Noroccidente,PASADENA,pasadena
Apartamento,860000000,0.0,3,3,3.0,Norte,LA CALLEJA,LA CALLEJA
Casa,2200000000,1510.0,3,4,0.0,Guaymaral,CASA BLANCA,San Simón
Apartamento,800000000,139.0,3,3,2.0,Norte,SANTA BARBARA CENTRAL,Unicentro
Apartamento,430000000,71.0,2,2,2.0,Norte,LISBOA,LISBOA ANTIGUA
Casa,480000000,152.0,3,3,2.0,Norte,VILLAS DEL MEDITERRANEO,VILLAS DEL MEDITERRANEO
Apartamento,320000000,70.0,3,2,1.0,Noroccidente,PRADO VERANIEGO SUR,Prado Veraniego
Casa,250000000,100.0,4,3,0.0,Occidental,CIUDAD TECHO,TABAKU DE LAS AMERICAS
Apartamento,750000000,117.0,3,2,2.0,Norte,SAN PATRICIO,san patrici0
Casa,650000000,198.0,4,4,2.0,Noroccidente,TIERRA LINDA,TIERRA LINDA
Apartamento,400000000,93.0,3,2,1.0,Noroccidente,EL PLAN,COLINA CAMPESTRE
Apartamento,390000000,78.0,2,2,1.0,Noroccidente,ESTORIL,PASADENA
Apartamento,715000000,94.0,2,3,2.0,Norte,CONTADOR,Bella Suiza
Apartamento,620000000,60.0,1,2,2.0,Norte,CHICO,Chico Reservado
Apartamento,375000000,102.0,3,4,1.0,Norte,EL CEREZO,EL CEREZO
Apartamento,3600000000,300.0,4,4,3.0,Norte,CHICO NORTE,CHICO RESERVADO
Apartamento,295000000,51.0,1,2,1.0,Norte,CEDRO MADEIRAS,Cedritos-Usaquén
Apartamento,760000000,148.0,3,3,2.0,Norte,MOLINOS NORTE,CHICO SAN PATRICIO
Apartamento,395000000,58.0,1,2,2.0,Norte,SANTA BARBARA OCCIDENTAL,SANTA BARBARA OCCIDENTAL
Apartamento,950000000,140.0,2,3,2.0,Norte,URBANIZACION BOSQUES DE MEDINA,BOSQUES DE MEDINA
Casa,350000000,80.0,3,2,1.0,Norte,CEDRO NARVAEZ,cedritos
Apartamento,350000000,59.0,1,2,1.0,Centro,BOSQUE IZQUIERDO,BOSQUE IZQUIERDO
Apartamento,350000000,0.0,1,1,0.0,Chapinero,CHAPINERO CENTRAL,Chapinero Central
Apartamento,680000000,103.0,2,3,2.0,Noroccidente,MONACO,Batán
Apartamento,850000000,120.0,3,3,2.0,Chapinero,MARIA CRISTINA,Sierras del Este
Apartamento,850000000,135.0,4,3,2.0,Occidental,CIUDAD SALITRE SUR-ORIENTAL,CIUDAD SALITRE ORIENTAL
Apartamento,590000000,121.0,3,3,0.0,Noroccidente,EL PLAN,Colina Campestre
Casa,2500000000,540.0,4,5,4.0,Noroccidente,SAN JOSE DE BAVARIA,san jose de bavaria
Apartamento,630000000,0.0,3,3,2.0,Norte,CEDRO MADEIRAS,CEDRITOS
Apartamento,175000000,42.0,3,1,0.0,Occidental,EL CASTILLO,EL CASTILLO
Casa,145000000,70.0,4,2,0.0,Sur,SAN LUIS,SANTA LIBRADA MIRAVALLE
Casa,2500000000,480.0,4,5,4.0,Noroccidente,SAN JOSE DE BAVARIA,san jose de bavaria
Apartamento,320000000,0.0,2,2,1.0,Noroccidente,MONACO,El Batán II Sector
Apartamento,260000000,54.0,2,1,1.0,Norte,CEDRITOS,CEDRITOS
Apartamento,350000000,60.0,1,2,1.0,Noroccidente,MAZUREN,MAZUREN COLINA
Apartamento,330000000,60.0,1,2,1.0,Noroccidente,MAZUREN,MAZUREN II
Casa,2500000000,540.0,4,5,4.0,Noroccidente,SAN JOSE DE BAVARIA,san jose de bavaria
Apartamento,800000000,0.0,3,3,2.0,Norte,CHICO NORTE III,Chico Norte III
Apartamento,1700000000,285.0,4,2,3.0,Norte,CHICO NORTE,CHICO NORTE
Apartamento,750000000,119.0,3,3,2.0,Noroccidente,ESCUELA DE CARABINEROS,COLINA CAMPESTRE
Casa,1500000000,225.0,4,3,4.0,Occidental,LA ESMERALDA,La Esmeralda-Teusaquillo
Apartamento,450000000,85.0,3,2,2.0,Noroccidente,EL PLAN,COLINA GRATAMIRA
Apartamento,690000000,0.0,1,2,0.0,Chapinero,BELALCAZAR,BELALCAZAR
Apartamento,370781000,94.0,3,3,0.0,Centro,SANTA BARBARA,
Apartamento,64900000,0.0,3,1,0.0,Sur,MIRADOR DE USME,Mirador de Usme
